name,course,type
ECE 101
ECE 110
ECE 120,ECE,7
ECE 198,CUSTOM,4
ECE 199
ECE 200,ECE,7
ECE 205,PHYS 212,0,NOT_ECE,7
ECE 206,ECE 205,0,NOT_ECE,7
ECE 210,ECE 211,2,ECE 110,0 PHYS 212,0,MATH 285,-5,MATH 286,-5
ECE 211,ECE 210,2,ECE 110,0,PHYS 212,0, MATH 285,-5,MATH 286,-5
ECE 220,ECE 120,0,ECE,7
ECE 297,CONSENT,4
ECE 298,CUSTOM,4
ECE 304,PHYS 214,0
ECE 307,ECE 210,0,ECE 313,1
ECE 310
ECE 310,ECE 210,0
ECE 311,ECE 310,1
ECE 313,MATH 461,2,MATH 286,-1,MATH 415,-1
ECE 314,ECE 313,-5,IE 300,-5,STAT 410,-5
ECE 316,CS 210,2,JR,5,RHET 105,0
ECE 317,NOT_ECE,7,MATH 220,-1,MATH 221,-1,MATH 234,-1
ECE 329,ECE 210,0
ECE 330,ECE 210,0
ECE 333,ECE 205,-1,ECE 210,-1
ECE 340,ECE 210,0,PHYS 214,0,ECE 329,1
ECE 342,PHYS 404,2,ECE 210,0
ECE 343,PHYS 404,2,ECE 342,1
ECE 350,ECE 329,0
ECE 365,ECE 313,0
ECE 374,CS 374,3
ECE 380,MATH 285,-1,MATH 286,-1
ECE 385,ECE 110,0,ECE 220,0
ECE 391,CS 241,2,ECE 220,-1,CS 223,-1
ECE 395,ECE 385,0
ECE 396,CONSENT,4
ECE 397,CONSENT,4
ECE 398,CUSTOM,4
ECE 399,CONSENT,4,ECE,7,SR,5
ECE 401,ECE 310,2,MATH 220,0
ECE 402,ECE 310,0
ECE 403,ECE 210,0,ECE 310,0
ECE 408,ECE 220,0
ECE 411,ECE 391,-1,CS 241,-1
ECE 412,ECE 385,0,ECE 391,-1,CS 233,-1,ECE 411,6
ECE 414,BIOE 414,3
ECE 415,BIOE 415,3
ECE 416,ECE 329,0
ECE 417,ECE 310,0,ECE 313,0
ECE 418,ECE 310,0,ECE 313,-5,STAT 400,-5,IE 300,-5,MATH 461,-5,MATH 415,-5
ECE 419,CS 460,3
ECE 420,ECE 310,0
ECE 422,CS 461,3
ECE 424,CS 463,3
ECE 425,ECE 385,0,ECE 411,0,CS 233,8
ECE 428,CS 425,3
ECE 431,ECE 330,0
ECE 432,ECE 431,0
ECE 435,CS 436,3
ECE 437,ECE 329,0
ECE 438,CS 438,3
ECE 439,CS 241,-1,ECE 391,-1,MATH 461,-2,MATH 463,-2,ECE 313,-2
ECE 441,ECE 340,0
ECE 443,ECE 340,0
ECE 444,ECE 340,0
ECE 445,CONSENT,4
ECE 446,ECE 313,0
ECE 447,ECE 350,0,ECE 453,0
ECE 448,CS 440,3
ECE 449,CS 446,3
ECE 451,ECE 350,0
ECE 452,ECE 350,0
ECE 453,ECE 329,0,ECE 342,1
ECE 454,ECE 350,0
ECE 455,ECE 350,-1,PHYS 436,-1
ECE 456,ECE 329,0,ECE 310,0
ECE 457,ECE 340,0,ECE 350,0
ECE 458,ECE 350,0
ECE 459,ECE 313,0
ECE 460,ECE 329,0,ECE 313,1
ECE 461,ECE 210,0,ECE 313,0
ECE 462,ECE 220,-1,CS 233,-1
ECE 463,ECE 361,-1,ECE 459,-1
ECE 464,ECE 342,0
ECE 465,ECE 313,0,ECE 350,0,ECE 459,6,ECE 466,6
ECE 466,ECE 465,1
ECE 467,ECE 455,-1,ECE 460,-1,PHYS 402,-1
ECE 468,ECE 329,0,ECE 313,0
ECE 469,ECE 343,0,ECE 464,1
ECE 470,MATH 225,-1,MATH 286,-1,MATH 415,-1,MATH 418,-1
ECE 472,ECE 329,0
ECE 473,MATH 285,-1,MATH 286,-1
ECE 476,ECE 330,0
ECE 478,CS 477,3
ECE 480,ECE 310,6
ECE 481,CHEM 442,-1,CHBE 457,-1,ME 485,-1,MSE 401,-1,PHYS 460,-1
ECE 482,ECE 342,0
ECE 483,ECE 342,0
ECE 485
ECE 486,ECE 210,0
ECE 487,PHYS 485,0
ECE 488,ECE 340,0,ECE 350,0
ECE 489,SE 422,3
ECE 490,ECE 220,0,MATH 415,0
ECE 491,CS 450,3
ECE 492,CS 420,3
ECE 493,MATH 487,3
ECE 495,ECE 487,6
ECE 496,RHET 105,0,CONSENT,4
ECE 498,CUSTOM,4
ECE 499,ECE 496,0,CONSENT,4
ECE 500,CUSTOM,4
ECE 508,ECE 408,-1,CS 420,-1
ECE 511,ECE 411,-1,CS 433,-1
ECE 512,ECE 511,0,CS 426,0
ECE 513,ECE 310,0,ECE 313,0,MATH 415,0
ECE 515,ECE 486,0
ECE 517,ECE 515,0
ECE 518,ECE 340,0,ECE 444,0,ECE 481,0
ECE 519
ECE 520,MATH 481,6,MATH 448,6,ECE 452,6
ECE 523,NPRE 527,3
ECE 524,CS 563,3
ECE 526,CS 473,-1,ECE 428,-1,ECE 438,-1
ECE 527,ECE 391,0,ECE 425,0
ECE 528,ECE 515,0,MATH 444,-1,MATH 447,-1
ECE 530,ECE 464,0,ECE 476,0
ECE 531,ECE 520,0,MATH 556,6
ECE 532,ECE 340,PHYS 486,0,ECE 455,6,ECE 536,1
ECE 534,ECE 313,-1,MATH 461,-1,STAT 400,-1
ECE 535,QUANTUM_MECH,7,SR,5
ECE 536,ECE 455,-1,ECE 487,-1,PHYS 486,-1,ECE 488,6
ECE 537,ECE 310,0
ECE 539,ECE 535,0
ECE 540,CS 357,0,ECE 520,1
ECE 541,ECE 313,-1,MATH 461,-1,MATH 463,-1
ECE 542,ECE 411,0
ECE 543,ECE 534,0
ECE 544,CUSTOM,4
ECE 545,ECE 473,-1,ECE 520,-1,TAM 518,-1
ECE 546,ECE 520,0
ECE 547,ECE 310,0,ECE 313,0
ECE 548,CS 548,3
ECE 549,ECE 448,-1,CS 225,-1
ECE 550,ECE 470,0
ECE 551,ECE 310,0,ECE 313,0
ECE 552,MATH 415,0,ECE 210,0
ECE 553,ECE 313,0,ECE 515,0
ECE 554,ECE 313,0,ECE 515,0,CONSENT,4
ECE 555,ECE 515,0,ECE 534,0
ECE 556,MATH 417,0
ECE 557,ECE 515,0,ECE 486,0,MATH 415,-1,MATH 416,-1
ECE 558,ECE 310,0,ECE 313,0
ECE 559,CUSTOM,4
ECE 560,ECE 310,0
ECE 561,ECE 534,0
ECE 562,ECE 461,-1,ECE 459,-1
ECE 563,ECE 534,-1,MATH 464,-1,MATH 564,-1
ECE 564,ECE 460,-1,MSE 405,-1,PHYS 402,-1
ECE 566,ECE 490,0,ECE 534,0
ECE 567,CS 438,0,ECE 534,-1,MATH 464,-1,MATH 564,-1
ECE 568,ECE 431,0,ECE 515,0
ECE 569,ECE 460,0
ECE 570,ECE 520,0
ECE 571,MATH 446,0,ECE 520,-1,PHYS 505,-1
ECE 572,PHYS 485,6
ECE 573,ECE 476,0,ECE 530,1
ECE 574,ECE 455,-1,ECE 572,-1,ECE 487,-2,PHYS 486,-2
ECE 576,ECE 476,0,ECE 530,1
ECE 577,ECE 520,0
ECE 579,CS 579,3
ECE 580,MATH 415,-1,MATH 482,-1,MATH 447,0
ECE 581,ECE 310,0,ECE 483,0
ECE 582,ECE 425,-1,ECE 482,-1
ECE 584,CS 476,-1,CS 477,-1
ECE 585,CS 441,0
ECE 586,CUSTOM,4
ECE 588,MATH 415,0,ECE 313,0,ECE 476,0
ECE 590,CONSENT,4
ECE 594,ECE 537,0
ECE 596
ECE 597,CONSENT,4
ECE 598,CUSTOM,4
ECE 599
